Name,Image URLs,Front,Back,Text,Cost,Defense,Level,Faction,Type,Role,Set Name,Set Qty,Artist
"Broelyn, Loreweaver",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-061-broelyn-loreweaver.jpg,,,"Expend:
Gain 2 Gold. <hr> Wild:
Target opponent discards a card.",4,6,,Wild,Champion ◆ Elf Mage,Market Deck,Base Set,1,Odysseas Stamoglou
"Cron, the Berserker",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-062-cron-the-berserker.jpg,,,"Expend:
Gain 5 Combat. <hr> Wild:
Draw a card.",6,6,,Wild,Champion ◆ Human Warrior,Market Deck,Base Set,1,Johnny Morrow
Dire Wolf,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-063-dire-wolf.jpg,,,"Expend:
Gain 3 Combat. <hr> Wild:
Gain 4 Combat.",5,Guard 5,,Wild,Champion ◆ Giant Wolf,Market Deck,Base Set,1,Antonis Papantoniou
Elven Curse,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-064-elven-curse.jpg,,,"Gain 6 Combat.
Target opponent discards a card. <hr> Wild:
Gain 3 Combat.",3,,,Wild,Action ◆ Elf Curse,Market Deck,Base Set,2,David Nash
Elven Gift,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-066-elven-gift.jpg,,,"Gain 2 Gold.
You may draw a card. If you do, discard a card. <hr> Wild:
Gain 4 Combat.",2,,,Wild,Action ◆ Elf,Market Deck,Base Set,3,Johnny Morrow
"Grak, Storm Giant",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-069-grak-storm-giant.jpg,,,"Expend:
Gain 6 Combat.
You may draw a card. If you do, discard a card. <hr> Wild:
Draw a card, then discard a card.",8,Guard 7,,Wild,Champion ◆ Giant,Market Deck,Base Set,1,Gialer Liew
Nature's Bounty,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-070-natures-bounty.jpg,,,"Gain 4 Gold. <hr> Wild:
Target opponent discards a card. <hr> Sacrifice:
Gain 4 Combat.",4,,,Wild,Action,Market Deck,Base Set,1,Souveraine
Orc Grunt,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-071-orc-grunt.jpg,,,"Expend:
Gain 2 Combat. <hr> Wild:
Draw a card.",3,Guard 3,,Wild,Champion ◆ Orc,Market Deck,Base Set,2,Antonis Papantoniou
Rampage,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-073-rampage.jpg,,,"Gain 6 Combat.
You may draw up to two cards, then discard that many cards.",6,,,Wild,Action ◆ Orc,Market Deck,Base Set,1,Antonis Papantoniou
Torgen Rocksplitter,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-074-torgen-rocksplitter.jpg,,,"Expend:
Gain 4 Combat.
Target opponent discards a card.",7,Guard 7,,Wild,Champion ◆ Troll Warrior,Market Deck,Base Set,1,L. Sean
Spark,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-075-spark.jpg,,,"Gain 3 Combat.
Target opponent discards a card. <hr> Wild:
Gain 2 Combat.",1,,,Wild,Action ◆ Spell,Market Deck,Base Set,3,Michael J. Williams
Wolf Form,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-078-wolf-form.jpg,,,"Gain 8 Combat.
Target opponent discards a card. <hr> Sacrifice:
Target opponent discards a card.",5,,,Wild,Action ◆ Wolf,Market Deck,Base Set,1,Bramasta Aji
Wolf Shaman,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-079-wolf-shaman.jpg,,,"Expend:
Gain 2 Combat.
+1 Combat for each other Wild card you have in play.",2,4,,Wild,Champion ◆ Human Priest,Market Deck,Base Set,2,Bramasta Aji
Fire Gem,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-081-fire-gem.jpg,,,"Gain 2 Gold. <hr> Sacrifice:
Gain 3 Combat.",2,,,,Item ◆ Currency ◆ Gem,Fire Gems,Base Set,16,Bramasta Aji
Gold,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-097-gold.jpg,,,Gain 1 Gold.,,,,,Item ◆ Currency ◆ Coin,Starting Deck,Base Set,28,Antonis Papantoniou
Shortsword,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-125-shortsword.jpg,,,Gain 2 Combat.,,,,,Item ◆ Melee Weapon ◆ Sword,Starting Deck,Base Set,4,Ina Wong
Dagger,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-129-dagger.jpg,,,Gain 1 Combat.,,,,,Item ◆ Melee Weapon ◆ Dagger,Starting Deck,Base Set,4,Dylan Safford
Ruby,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-133-ruby.jpg,,,Gain 2 Gold.,,,,,Item ◆ Currency ◆ Gem,Starting Deck,Base Set,4,Apsara
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-138-score-ones-blue.jpg,,,,,,,Blue,,Scorecard,Base Set,1,
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-140-score-ones-green.jpg,,,,,,,Green,,Scorecard,Base Set,1,
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-142-score-ones-red.jpg,,,,,,,Red,,Scorecard,Base Set,1,
Scorecard (Ones),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-144-score-ones-yellow.jpg,,,,,,,Yellow,,Scorecard,Base Set,1,
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-146-score-tens-blue.jpg,,,,,,,Blue,,Scorecard,Base Set,1,
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-148-score-tens-green.jpg,,,,,,,Green,,Scorecard,Base Set,1,
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-150-score-tens-red.jpg,,,,,,,Red,,Scorecard,Base Set,1,
Scorecard (Tens),https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-152-score-tens-yellow.jpg,,,,,,,Yellow,,Scorecard,Base Set,1,
"Bjorn, the Centurion",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-03-bjorn-the-centurion.jpg,,,"Expend:
Gain 3 Combat.
<i>or</i>
Put a Legionnaire token into play.",5,Guard 4,,Imperial,Champion ◆ Human Warrior,Market Deck,Kickstarter Promos,1,Johnny Morrow
Bloodfang,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-04-bloodfang.jpg,,,"Expend:
Gain 2 Gold.
<i>or</i>
Discard a card. If you do, gain 6 Combat.",5,5,,Wild,Champion ◆ Werewolf,Market Deck,Kickstarter Promos,1,Johnny Morrow
"Droga, Guild Enforcer",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-09-droga-guild-enforcer.jpg,,,"Expend:
Gain 1 Gold.
<i>or</i>
Stun target champion that’s been damaged this turn.",3,3,,Guild,Champion ◆ Human Rogue,Market Deck,Kickstarter Promos,1,Grzegorz Pedrycz
"Galok, the Vile",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-10-galok-the-vile.jpg,,,"Expend:
Gain 1 Combat.
You may sacrifice a card in your hand or discard pile. If you do, gain an additional 1 Combat.",3,2,,Necros,Champion ◆ Vampire,Market Deck,Kickstarter Promos,1,Inkognit
"Gorg, Orc Shaman",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-11-gorg-orc-shaman.jpg,,,"Expend:
Draw a card, then discard a card. <hr> Wild:
Gain 3 Combat.",3,3,,Wild,Champion ◆ Orc Priest,Market Deck,Kickstarter Promos,1,Alex Hurtado
"Kasha, the Awakener",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-12-kasha-the-awakener.jpg,,,"Expend:
Put a Zombie token into play. <hr> <i>“Klaatu... verata... n...”</i>",3,3,,Necros,Champion ◆ Human Necromancer,Market Deck,Kickstarter Promos,1,Christian Schob
"Ren, Bounty Hunter",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-16-ren-bounty-hunter.jpg,,,"Expend:
Gain 2 Combat.
<i>or</i>
Stun target champion of cost four or less. <hr> Guild:
If you’ve stunned a champion this turn, gain 3 Gold.",4,4,,Guild,Champion ◆ Human Warrior,Market Deck,Kickstarter Promos,1,Johnny Morrow
"Valius, Fire Dragon",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-20-valius-fire-dragon.jpg,,,"Expend:
Deal three damage to target player and to each of their champions. <i>(Guards do not protect against this.)</i> <hr> Imperial:
Gain 4 Combat.",7,6,,Imperial,Champion ◆ Dragon,Market Deck,Kickstarter Promos,1,Camille Alquier
Bag of Holding,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-21-bag-of-holding.jpg,,,"Draw a card.
At the end of turn, when you draw a new hand of cards, draw an additional card. <hr> When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",,,,,Item ◆ Magic Satchel,Thief Starting Deck,Kickstarter Promos,1,David Nash
Blade of Conquest,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-22-blade-of-conquest.jpg,,,"Gain 3 Combat.
Draw a card.
Each time you stun a champion this turn, gain 2 Health. <hr> When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",,,,,Item ◆ Magic Weapon ◆ Sword,Fighter Starting Deck,Kickstarter Promos,1,Souveraine
Book of Secrets,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-23-book-of-secrets.jpg,,,"You may acquire an action or item of cost three or less without paying its cost.
Draw a card. <hr> When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",,,,,Item ◆ Magic Book,Wizard Starting Deck,Kickstarter Promos,1,Souveraine
Starsoul Amulet,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-24-starsoul-amulet.jpg,,,"Gain 1 Gold.
Gain 2 Combat for each champion you have in play.
Draw a card. <hr> When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",,,,,Item ◆ Magic Jewelry,Cleric Starting Deck,Kickstarter Promos,1,Johnny Morrow
Stone of Seeking,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-25-stone-of-seeking.jpg,,,"Look at the top three cards of your deck. Put one into your hand and the rest on top of your deck in any order. <hr> When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",,,,,Item ◆ Magic Gem,Ranger Starting Deck,Kickstarter Promos,1,Apsara
Legionnaire | Zombie,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-27-legionnaire.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-28-zombie-back.jpg,,,"Expend:
Gain 1 Combat. <hr> If this token would leave play, put it back in the token pile. <i>(It can never go into your discard pile, hand, or deck.)</i>
|
Expend:
Gain 2 Combat. <hr> If this token would leave play, put it back in the token pile. <i>(It can never go into your discard pile, hand, or deck.)</i>",,Guard 2 | 1,,Imperial | Necros,Champion ◆ Token ◆ Human Warrior | Champion ◆ Token ◆ Zombie,Token,Kickstarter Promos,8,Johnny Morrow | Souveraine
"Tibus, Guild Lord",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-43-tibus-guild-lord-solo.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-44-tibus-guild-lord-solo-back.jpg,,,"Imperial:
Tibus gains 5 Health. <hr> Guild:
Tibus keeps the revealed card, and reveals another. <hr> Necros:
Sacrifice every card in the market. Tibus gains 5 Combat. <hr> Wild:
If you have any champions, Tibus stuns one. If not, discard two cards.
|
You take the first turn with a three-card starting hand. All normal rules apply.
Tibus starts with 40 Health and does not have a hand or personal deck. During Tibus' turn, reveal the top card of the Market Deck and place it face-up in front of Tibus. Tibus gains Combat equal to the cost of the revealed card. The faction of the revealed card determines Tibus' bonus ability for that turn (see reverse). If the revealed card has no faction, then you choose which bonus ability he uses for that turn. If Tibus has a card of each faction in front of him (Imperial,Guild,Necros,Wild), he gains an additional 15 Combat and sacrifices all his cards.
Tibus uses his Combat to stun your champions whenever possible, unless he can reduce your Health to zero. Tibus always attacks your champion with the highest defense that he can stun (you choose if there is a tie). After stunning all of the champions that he can, Tibus uses any remaining Combat to attack you directly, then his turn ends. Your guards protect you and your non-guard champions as normal.
Cards in front of Tibus don't do anything, except guards in front of him still protect him and his non-guard champions. During your turn, you may spend Combat to attack Tibus or the champion cards in front of him.
If you would make Tibus discard a card, instead choose one of his non-champion cards in play and sacrifice it.
For additional rules and information on this challenge, visit: www.HeroRealms.com/Challenge/Tibus",,40 Health,,,Solo Challenge,Challenge,Kickstarter Promos,1,Alex Hurtado
"Tibus, Guild Lord",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-45-tibus-guild-lord-co-op.jpg | https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-46-tibus-guild-lord-co-op-back.jpg,,,"Imperial:
Tibus gains 5 Health. <hr> Guild:
Tibus keeps the revealed card, and reveals another. <hr> Necros:
Sacrifice every card in the market. Tibus gains 5 Combat. <hr> Wild:
If you have any champions, Tibus stuns one. If not, discard two cards.
|
On each player's first turn, they get a three-card starting hand. Play proceeds clockwise around the table.
Tibus starts with 40 Health per player in the game, and does not have a hand or personal deck. After each player's turn, Tibus takes a turn attacking that player. During Tibus' turn, reveal the top card of the Markel Deck and place it face-up in front of Tibus. Tibus gains Combat equal to the cost of the revealed card(s). The faction of the revealed card determines Tibus' bonus ability for that turn (see reverse). If the revealed card has no faction, then the defending player chooses which ability Tibus uses for that turn. If Tibus has a card of each faction (Imperial,Guild,Necros,Wild), then he gains an additional 15 Combat and sacrifices all of his cards.
Tibus uses his Combat to stun the defending player's champions whenever possible, unless he can reduce their Health to zero. Tibus always attacks the defending player's champion with the highest defense that he can stun (they choose if there is a tie). After stunning all of their champions that he can, Tibus uses any remaining Combat to attack that player. Guards protect the defending player and their non-guard champions as normal. Cards in front of Tibus don't do anything, except guards in front of him still protect him and his non-guard champions. During each player's turn, they may spend Combat to attack Tibus or the champion cards in front of him.
If a player would make Tibus discard a card, instead they choose one of his non-champion cards in play and sacrilice it.
For additional rules and information on this challenge, visit: www.HeroRealms.com/Challenge/Tibus",,40 Health x Players,,,Co-op Challenge,Challenge,Kickstarter Promos,1,Alex Hurtado
Afterlife,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-01-afterlife.jpg,,,"Gain 2 Gold. <hr> Necros:
You may put a champion from your discard pile on top of your deck.",3,,,Necros,Action,Market Deck,Year 1 Promos,2,David Nash
Crime Spree,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-05-crime-spree.jpg,,,"Gain 5 Gold. Gain 5 Combat. <hr> Guild:
Put a card from your discard pile on top of your deck. <hr> Sacrifice:
Stun target champion.",7,,,Guild,Action ◆ Rogue,Market Deck,Year 1 Promos,1,Ksenia Kozhevnikova
Devotion,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-06-devotion.jpg,,,"Gain 4 Health.
Gain 1 Gold for each champion you have in play. <hr> Imperial:
Draw a card.",3,,,Imperial,Action,Market Deck,Year 1 Promos,2,Marius Bota
Dragon Fire,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-08-dragon-fire.jpg,,,"Gain 7 Combat.
Draw a card. <hr> Sacrifice:
Deal four damage to target player and to each of their champions. <i>(Guards do not protect against this.)</i>",7,,,Imperial,Action ◆ Dragon,Market Deck,Year 1 Promos,1,Takashi Tan
"Mobia, Elf Lord",https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-13-mobia-elf-lord.jpg,,,"Expend:
Gain 3 Gold.
Draw a card. <hr> <i>He’s spent centuries acquiring power.</i>",7,Guard 6,,Wild,Champion ◆ Elf Mage,Market Deck,Year 1 Promos,1,Rainer Petter
Raiding Party,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-14-raiding-party.jpg,,,"Gain 2 Gold. Gain 4 Combat.
Target opponent discards a card.",3,,,Wild,Action ◆ Orc,Market Deck,Year 1 Promos,2,Joewie Aderes
Robbery,https://www.herorealms.com/wp-content/uploads/2017/09/KIK-EN-17-robbery.jpg,,,"Gain 1 Gold.
Draw a card. <hr> Guild:
Gain 2 Combat.",2,,,Guild,Action ◆ Rogue,Market Deck,Year 1 Promos,2,Shen Fei
